INSEE,Latitude,Longitude
02143,50,3.25
02144,49.8667,3.1
02145,49.6167,3.18333
02146,49.0167,3.56667
02147,48.8648,3.46611
02148,49.4167,3.48333
02149,49.75,3.33333
02150,49.45,3.66667
02151,49.5833,3.53333
02152,49.3333,3.51667
02153,49.5667,3.48333
02154,49.3,3.4
02155,49.5167,3.51667
02156,49.6833,3.63333
02157,49.6,3.65
02158,49.4667,3.66667
02159,49.5333,3.25
02160,49.7,4
02161,49.0167,3.63333
02162,48.95,3.38333
02163,48.9773,3.28528
02164,49.1167,3.55
02165,49.65,3.38333
02166,49.0833,3.5
02167,49.3833,3.5
02168,49.05,3.4
02169,49.75,3.68333
02170,49.7833,3.4
02171,49.3833,3.78333
02172,49.3167,3.26667
02173,49.6167,3.21667
02174,49.4833,3.51667
02175,49.4333,3.3
02176,49.4,3.56667
02177,49.5167,3.68333
02178,49.4667,3.73333
02179,49.2667,3.61667
02180,49.65,3.6
02181,49.7167,4.08333
02182,49.8167,3.73333
02183,49.4667,3.58333
02184,49.75,3.56667
02185,49.1333,3.18333
02186,48.9833,3.36667
02187,49.0333,3.43333
02188,49.9167,3.76667
02189,49.6333,3.85
02190,49.4,3.43333
02191,49.5167,3.58333
02192,49.2,3.25
02193,49.1667,3.6
02194,49.7333,3.83333
02195,49.3667,3.46667
02196,49.55,3.56667
02197,49.9833,3.98333
02198,49.4333,3.36667
02199,49.7333,3.23333
02200,49.6667,3.95
02201,49.3333,3.15
02203,49.1667,3.41667
02204,49.7833,4.08333
02205,49.4833,3.65
02206,49.85,3.7
02207,49.6333,3.16667
02208,49.3833,3.78333
02209,49,3.55
02210,49.4,3.45
02211,49.4167,3.95
02212,49.6167,3.28333
02213,49.0333,3.53333
02214,49.8,3.23333
02215,49.4667,3.81667
02216,49.25,3.21667
02217,49.5203,3.3225
02218,49.55,3.76667
02219,49.5333,3.33333
02220,49.2012,3.63639
02221,49.0333,3.26667
02222,49.6833,3.45
02223,49,3.5
02224,49.3381,3.57195
02225,49.1167,3.26667
02226,49.35,3.31667
02227,49.15,3.56667
02228,49.0667,3.55
02229,49.5167,3.8
02230,49.35,3.48333
02231,49.65,3.51667
02232,49.2333,3.05
02233,49.2333,3.45
02234,49.4333,3.78333
02235,49.4333,3.76667
02236,49.4833,3.31667
02237,49.7,3.61667
02238,49.6042,3.51389
02239,49.05,3.5
02240,49.9167,3.4
02241,49.1667,3.35
02242,48.98,3.24
02243,49.4,3.36667
02244,49.9167,3.75
02245,49.4167,3.31667
02246,49.7,3.15
02248,49.6833,3.81667
02249,49.3,3.48333
02250,49.3833,3.76667
02251,49.7614,4.10973
02252,49.4167,3.7
02253,49.4167,3.25
02254,49.35,3.18333
02255,49.4,3.56667
02256,49.7667,4.03333
02257,49.8167,3.23333
02258,49.15,3.2
02259,49.25,3.15
02260,49.65,3.38333
02261,49.7,3.68333
02262,49.6333,3.35
02263,49.3667,3.61667
02264,49.6333,4.01667
02265,49.75,4.13333
02266,49.7167,4.08333
02267,49.3333,3.21667
02268,49.0167,3.28333
02269,49.9667,3.68333
02270,49.7667,3.11667
02271,49.2333,3.63333
02272,49.2833,3.38333
02273,49.7506,3.12889
02274,49.6667,3.86667
02275,49.9333,4
02276,49.9167,3.8
02277,49.4667,3.25
02278,49.8667,4.06667
02279,49.1,3.35
02280,49.1,3.45
02281,48.8833,3.45
02282,49.55,3.73333
02283,49.7167,3.71667
02284,49.9,3.81667
02286,49.9833,3.75
02287,49.7667,3.28333
02288,49.9,3.36667
02289,48.9667,3.41667
02290,49.0333,3.36667
02291,49.9667,3.28333
02292,49.0333,3.41667
02293,49.9333,3.45
02294,49.5333,3.58333
02295,49.9,3.91667
02296,49.8167,3.15
02297,49.0833,3.33333
02298,49.9833,3.65
02299,49.4333,4.03333
02301,49.5333,3.46667
02302,49.2242,3.17639
02303,49.8667,3.25
02304,49.6667,3.36667
02305,49.2,3.51667
02306,49.7333,3.56667
02307,49.1667,3.11667
02308,50.042,3.67834
02309,49.5167,3.75
02310,49.8833,3.45
02311,49.4667,3.55
02312,50,3.91667
02313,49.8909,3.66473
02315,49.7167,3.2
02316,49.2581,3.15639
02317,49.8,3.15
